"K"	"sig_ly"	"sig_lxy"	"n"	"prop_rejected"
"1"	2	0.1	0.1	100	0.12
"2"	2	0.1	0.1	1000	0.07
"3"	2	0.1	0.1	10000	0.09
"4"	2	0.05	0.1	100	0.1
"5"	2	0.05	0.1	1000	0.15
"6"	2	0.05	0.1	10000	0.13
"7"	2	0.01	0.1	100	0.08
"8"	2	0.01	0.1	1000	0.19
"9"	2	0.01	0.1	10000	0.1
"10"	2	0.005	0.1	100	0.1
"11"	2	0.005	0.1	1000	0.12
"12"	2	0.005	0.1	10000	0.08
"13"	2	0.1	0.05	100	0.12
"14"	2	0.1	0.05	1000	0.08
"15"	2	0.1	0.05	10000	0.11
"16"	2	0.05	0.05	100	0.15
"17"	2	0.05	0.05	1000	0.11
"18"	2	0.05	0.05	10000	0.12
"19"	2	0.01	0.05	100	0.08
"20"	2	0.01	0.05	1000	0.06
"21"	2	0.01	0.05	10000	0.13
"22"	2	0.005	0.05	100	0.1
"23"	2	0.005	0.05	1000	0.07
"24"	2	0.005	0.05	10000	0.07
"25"	2	0.1	0.01	100	0.03
"26"	2	0.1	0.01	1000	0.09
"27"	2	0.1	0.01	10000	0.03
"28"	2	0.05	0.01	100	0.11
"29"	2	0.05	0.01	1000	0.12
"30"	2	0.05	0.01	10000	0.06
"31"	2	0.01	0.01	100	0
"32"	2	0.01	0.01	1000	0.02
"33"	2	0.01	0.01	10000	0.01
"34"	2	0.005	0.01	100	0.02
"35"	2	0.005	0.01	1000	0.01
"36"	2	0.005	0.01	10000	0.04
"37"	2	0.1	0.005	100	0.1
"38"	2	0.1	0.005	1000	0.1
"39"	2	0.1	0.005	10000	0.08
"40"	2	0.05	0.005	100	0.07
"41"	2	0.05	0.005	1000	0.1
"42"	2	0.05	0.005	10000	0.14
"43"	2	0.01	0.005	100	0.02
"44"	2	0.01	0.005	1000	0.01
"45"	2	0.01	0.005	10000	0.04
"46"	2	0.005	0.005	100	0
"47"	2	0.005	0.005	1000	0.02
"48"	2	0.005	0.005	10000	0
"49"	5	0.1	0.1	100	0.23
"50"	5	0.1	0.1	1000	0.3
"51"	5	0.1	0.1	10000	0.28
"52"	5	0.05	0.1	100	0.2
"53"	5	0.05	0.1	1000	0.25
"54"	5	0.05	0.1	10000	0.27
"55"	5	0.01	0.1	100	0.25
"56"	5	0.01	0.1	1000	0.18
"57"	5	0.01	0.1	10000	0.2
"58"	5	0.005	0.1	100	0.3
"59"	5	0.005	0.1	1000	0.2
"60"	5	0.005	0.1	10000	0.2
"61"	5	0.1	0.05	100	0.18
"62"	5	0.1	0.05	1000	0.29
"63"	5	0.1	0.05	10000	0.26
"64"	5	0.05	0.05	100	0.16
"65"	5	0.05	0.05	1000	0.19
"66"	5	0.05	0.05	10000	0.19
"67"	5	0.01	0.05	100	0.2
"68"	5	0.01	0.05	1000	0.22
"69"	5	0.01	0.05	10000	0.24
"70"	5	0.005	0.05	100	0.13
"71"	5	0.005	0.05	1000	0.25
"72"	5	0.005	0.05	10000	0.18
"73"	5	0.1	0.01	100	0.26
"74"	5	0.1	0.01	1000	0.23
"75"	5	0.1	0.01	10000	0.28
"76"	5	0.05	0.01	100	0.17
"77"	5	0.05	0.01	1000	0.24
"78"	5	0.05	0.01	10000	0.24
"79"	5	0.01	0.01	100	0.07
"80"	5	0.01	0.01	1000	0.05
"81"	5	0.01	0.01	10000	0.06
"82"	5	0.005	0.01	100	0.09
"83"	5	0.005	0.01	1000	0.06
"84"	5	0.005	0.01	10000	0.07
"85"	5	0.1	0.005	100	0.18
"86"	5	0.1	0.005	1000	0.25
"87"	5	0.1	0.005	10000	0.22
"88"	5	0.05	0.005	100	0.21
"89"	5	0.05	0.005	1000	0.23
"90"	5	0.05	0.005	10000	0.19
"91"	5	0.01	0.005	100	0.04
"92"	5	0.01	0.005	1000	0.01
"93"	5	0.01	0.005	10000	0.03
"94"	5	0.005	0.005	100	0.03
"95"	5	0.005	0.005	1000	0.03
"96"	5	0.005	0.005	10000	0.04
"97"	10	0.1	0.1	100	0.44
"98"	10	0.1	0.1	1000	0.5
"99"	10	0.1	0.1	10000	0.44
"100"	10	0.05	0.1	100	0.46
"101"	10	0.05	0.1	1000	0.44
"102"	10	0.05	0.1	10000	0.45
"103"	10	0.01	0.1	100	0.52
"104"	10	0.01	0.1	1000	0.37
"105"	10	0.01	0.1	10000	0.37
"106"	10	0.005	0.1	100	0.41
"107"	10	0.005	0.1	1000	0.47
"108"	10	0.005	0.1	10000	0.5
"109"	10	0.1	0.05	100	0.48
"110"	10	0.1	0.05	1000	0.45
"111"	10	0.1	0.05	10000	0.34
"112"	10	0.05	0.05	100	0.39
"113"	10	0.05	0.05	1000	0.29
"114"	10	0.05	0.05	10000	0.41
"115"	10	0.01	0.05	100	0.31
"116"	10	0.01	0.05	1000	0.35
"117"	10	0.01	0.05	10000	0.4
"118"	10	0.005	0.05	100	0.39
"119"	10	0.005	0.05	1000	0.39
"120"	10	0.005	0.05	10000	0.5
"121"	10	0.1	0.01	100	0.4
"122"	10	0.1	0.01	1000	0.38
"123"	10	0.1	0.01	10000	0.37
"124"	10	0.05	0.01	100	0.29
"125"	10	0.05	0.01	1000	0.34
"126"	10	0.05	0.01	10000	0.42
"127"	10	0.01	0.01	100	0.14
"128"	10	0.01	0.01	1000	0.06
"129"	10	0.01	0.01	10000	0.08
"130"	10	0.005	0.01	100	0.07
"131"	10	0.005	0.01	1000	0.17
"132"	10	0.005	0.01	10000	0.1
"133"	10	0.1	0.005	100	0.43
"134"	10	0.1	0.005	1000	0.41
"135"	10	0.1	0.005	10000	0.45
"136"	10	0.05	0.005	100	0.25
"137"	10	0.05	0.005	1000	0.44
"138"	10	0.05	0.005	10000	0.4
"139"	10	0.01	0.005	100	0.11
"140"	10	0.01	0.005	1000	0.09
"141"	10	0.01	0.005	10000	0.07
"142"	10	0.005	0.005	100	0.08
"143"	10	0.005	0.005	1000	0.04
"144"	10	0.005	0.005	10000	0.05
"145"	20	0.1	0.1	100	0.75
"146"	20	0.1	0.1	1000	0.75
"147"	20	0.1	0.1	10000	0.75
"148"	20	0.05	0.1	100	0.72
"149"	20	0.05	0.1	1000	0.7
"150"	20	0.05	0.1	10000	0.72
"151"	20	0.01	0.1	100	0.78
"152"	20	0.01	0.1	1000	0.74
"153"	20	0.01	0.1	10000	0.72
"154"	20	0.005	0.1	100	0.68
"155"	20	0.005	0.1	1000	0.71
"156"	20	0.005	0.1	10000	0.7
"157"	20	0.1	0.05	100	0.68
"158"	20	0.1	0.05	1000	0.64
"159"	20	0.1	0.05	10000	0.65
"160"	20	0.05	0.05	100	0.65
"161"	20	0.05	0.05	1000	0.57
"162"	20	0.05	0.05	10000	0.62
"163"	20	0.01	0.05	100	0.61
"164"	20	0.01	0.05	1000	0.59
"165"	20	0.01	0.05	10000	0.59
"166"	20	0.005	0.05	100	0.63
"167"	20	0.005	0.05	1000	0.62
"168"	20	0.005	0.05	10000	0.63
"169"	20	0.1	0.01	100	0.58
"170"	20	0.1	0.01	1000	0.67
"171"	20	0.1	0.01	10000	0.63
"172"	20	0.05	0.01	100	0.47
"173"	20	0.05	0.01	1000	0.5
"174"	20	0.05	0.01	10000	0.51
"175"	20	0.01	0.01	100	0.36
"176"	20	0.01	0.01	1000	0.2
"177"	20	0.01	0.01	10000	0.22
"178"	20	0.005	0.01	100	0.34
"179"	20	0.005	0.01	1000	0.19
"180"	20	0.005	0.01	10000	0.21
"181"	20	0.1	0.005	100	0.55
"182"	20	0.1	0.005	1000	0.64
"183"	20	0.1	0.005	10000	0.68
"184"	20	0.05	0.005	100	0.51
"185"	20	0.05	0.005	1000	0.54
"186"	20	0.05	0.005	10000	0.57
"187"	20	0.01	0.005	100	0.2
"188"	20	0.01	0.005	1000	0.19
"189"	20	0.01	0.005	10000	0.18
"190"	20	0.005	0.005	100	0.23
"191"	20	0.005	0.005	1000	0.06
"192"	20	0.005	0.005	10000	0.12
